Austria;AT;AUT;43;EU
Belgium;BE;BEL;32;EU
Bulgaria;BG;BGR;359;EU
Croatia;HR;HRV;385;EU
Cyprus;CY;CYP;357;EU
Czech Republic;CZ;CZE;420;EU
Denmark;DK;DNK;45;EU
Estonia;EE;EST;372;EU
Finland;FI;FIN;358;EU
France;FR;FRA;33;EU
Germany;DE;DEU;49;EU
Greece;GR;GRC;30;EU
Hungary;HU;HUN;36;EU
Ireland;IE;IRL;353;EU
Italy;IT;ITA;39;EU
Latvia;LV;LVA;371;EU
Lithuania;LT;LTU;370;EU
Luxembourg;LU;LUX;352;EU
Malta;MT;MLT;356;EU
Netherlands;NL;NLD;31;EU
Poland;PL;POL;48;EU
Portugal;PT;PRT;351;EU
Romania;RO;ROU;40;EU
Slovakia;SK;SVK;421;EU
Slovenia;SI;SVN;386;EU
Spain;ES;ESP;34;EU
Sweden;SE;SWE;46;EU
Albania;AL;ALB;355;x
Andorra;AD;AND;376;x
Armenia;AM;ARM;374;x
Belarus;BY;BLR;375;x
Bosnia and Herzegovina;BA;BIH;387;x
Faroe Islands;FO;FRO;298;x
Georgia;GE;GEO;995;x
Gibraltar;GI;GIB;350;x
Iceland;IS;ISL;354;x
Isle of Man;IM;IMN;44;x
Kosovo;XK;XKX;381;x
Liechtenstein;LI;LIE;423;x
Macedonia;MK;MKD;389;x
Moldova;MD;MDA;373;x
Monaco;MC;MCO;377;x
Montenegro -ME;MNE;382;x
Norway;NO;NOR;47;x
Russian Federation;RU;RUS;7;x
San Marino;SM;SMR;378;x
Serbia;RS;SRB;381;x
Switzerland;CH;CHE;41;x
Turkey;TR;TUR;90;x
Ukraine;UA;UKR;380;x
United Kingdom;GB;GBR;44;x
Vatican City State;VA;VAT;39;x
